User,Question,"Average Rating"
Overall,Q5,3.2611464968153
Overall,Q6,3.1424435437174
Overall,Q7,3.2217718587145
Overall,Q8,3.2154024319629
Overall,Q9,3.0440069484655
Overall,Q10,3.4585987261146
Overall,Q11,3.3705848291836
Overall,Q12,3.4059061957151
Overall,Q13,3.2466705269253
Overall,Q14,3.0214244354372
Overall,Q15,0
Overall,Q16,0
Overall,Q17,0
Overall,Q18,0
Overall,Q19,0
